sample,dataset,sample_n,Site,Date,Watershed,site_description,Month,season,season_n,season_tb,wrol_mo_end_member
RC2_0089,YRB,89,T02,2021-08-12,Yakima,Yakima at Mabton,8,Summer,3,Summer,NA
RC2_0090,YRB,90,T07,2021-08-12,Yakima,Yakima at Kiona,8,Summer,3,Summer,NA
RC2_0091,YRB,91,T06,2021-08-18,Yakima,American River,8,Summer,3,Summer,NA
RC2_0092,YRB,92,T05P,2021-08-18,Yakima,Little Naches at Nile,8,Summer,3,Summer,NA
RC2_0093,YRB,93,T42,2021-08-18,Yakima,Naches River Craig Road 2,8,Summer,3,Summer,NA
RC2_0094,YRB,94,T03,2021-08-18,Yakima,Yakima at Union Gap,8,Summer,3,Summer,NA
RC2_0095,YRB,95,T02,2021-08-18,Yakima,Yakima at Mabton,8,Summer,3,Summer,NA
RC2_0096,YRB,96,T07,2021-08-18,Yakima,Yakima at Kiona,8,Summer,3,Summer,NA
RC2_0097,YRB,97,T07,2021-09-07,Yakima,Yakima at Kiona,9,Fall,4,Summer,NA
RC2_0098,YRB,98,T02,2021-09-07,Yakima,Yakima at Mabton,9,Fall,4,Summer,NA
RC2_0099,YRB,99,T03,2021-09-08,Yakima,Yakima at Union Gap,9,Fall,4,Summer,NA
RC2_0100,YRB,100,T42,2021-09-08,Yakima,Naches River Craig Road 2,9,Fall,4,Summer,NA
RC2_0101,YRB,101,T06,2021-09-16,Yakima,American River,9,Fall,4,Summer,NA
RC2_0103,YRB,103,T42,2021-09-16,Yakima,Naches River Craig Road 2,9,Fall,4,Summer,NA
RC2_0104,YRB,104,T03,2021-09-16,Yakima,Yakima at Union Gap,9,Fall,4,Summer,NA
RC2_0105,YRB,105,T02,2021-09-16,Yakima,Yakima at Mabton,9,Fall,4,Summer,NA
RC2_0106,YRB,106,T07,2021-09-16,Yakima,Yakima at Kiona,9,Fall,4,Summer,NA
RC2_0107,YRB,107,T06,2021-09-23,Yakima,American River,9,Fall,4,Summer,NA
RC2_0108,YRB,108,T05P,2021-09-23,Yakima,Little Naches at Nile,9,Fall,4,Summer,NA
RC2_0109,YRB,109,T42,2021-09-23,Yakima,Naches River Craig Road 2,9,Fall,4,Summer,NA
RC2_0110,YRB,110,T03,2021-09-23,Yakima,Yakima at Union Gap,9,Fall,4,Summer,NA
RC2_0111,YRB,111,T02,2021-09-23,Yakima,Yakima at Mabton,9,Fall,4,Summer,NA
RC2_0112,YRB,112,T07,2021-09-23,Yakima,Yakima at Kiona,9,Fall,4,Summer,NA
RC2_0113,YRB,113,T06,2021-09-30,Yakima,American River,9,Fall,4,Summer,NA
RC2_0114,YRB,114,T05P,2021-09-30,Yakima,Little Naches at Nile,9,Fall,4,Summer,NA
RC2_0115,YRB,115,T42,2021-09-30,Yakima,Naches River Craig Road 2,9,Fall,4,Summer,NA
RC2_0116,YRB,116,T03,2021-09-30,Yakima,Yakima at Union Gap,9,Fall,4,Summer,NA
RC2_0117,YRB,117,T02,2021-09-30,Yakima,Yakima at Mabton,9,Fall,4,Summer,NA
RC2_0118,YRB,118,T07,2021-09-30,Yakima,Yakima at Kiona,9,Fall,4,Summer,NA
RC2_0119,YRB,119,T06,2021-10-07,Yakima,American River,10,Fall,4,Fall,NA
RC2_0120,YRB,120,T05P,2021-10-07,Yakima,Little Naches at Nile,10,Fall,4,Fall,NA
RC2_0121,YRB,121,T42,2021-10-07,Yakima,Naches River Craig Road 2,10,Fall,4,Fall,NA
RC2_0122,YRB,122,T03,2021-10-07,Yakima,Yakima at Union Gap,10,Fall,4,Fall,NA
RC2_0123,YRB,123,T02,2021-10-07,Yakima,Yakima at Mabton,10,Fall,4,Fall,NA
RC2_0124,YRB,124,T07,2021-10-07,Yakima,Yakima at Kiona,10,Fall,4,Fall,NA
RC2_0125,YRB,125,T06,2021-10-13,Yakima,American River,10,Fall,4,Fall,NA
RC2_0126,YRB,126,T05P,2021-10-13,Yakima,Little Naches at Nile,10,Fall,4,Fall,NA
RC2_0127,YRB,127,T42,2021-10-13,Yakima,Naches River Craig Road 2,10,Fall,4,Fall,NA
RC2_0128,YRB,128,T03,2021-10-13,Yakima,Yakima at Union Gap,10,Fall,4,Fall,NA
RC2_0129,YRB,129,T02,2021-10-13,Yakima,Yakima at Mabton,10,Fall,4,Fall,NA
RC2_0130,YRB,130,T07,2021-10-13,Yakima,Yakima at Kiona,10,Fall,4,Fall,NA
RC2_0131,YRB,131,T06,2021-10-21,Yakima,American River,10,Fall,4,Fall,NA
RC2_0132,YRB,132,T05P,2021-10-21,Yakima,Little Naches at Nile,10,Fall,4,Fall,NA
RC2_0133,YRB,133,T42,2021-10-21,Yakima,Naches River Craig Road 2,10,Fall,4,Fall,NA
RC2_0134,YRB,134,T03,2021-10-21,Yakima,Yakima at Union Gap,10,Fall,4,Fall,NA
RC2_0135,YRB,135,T02,2021-10-21,Yakima,Yakima at Mabton,10,Fall,4,Fall,NA
RC2_0136,YRB,136,T07,2021-10-21,Yakima,Yakima at Kiona,10,Fall,4,Fall,NA
RC2_0137,YRB,137,T06,2021-10-28,Yakima,American River,10,Fall,4,Fall,NA
RC2_0138,YRB,138,T05P,2021-10-28,Yakima,Little Naches at Nile,10,Fall,4,Fall,NA
RC2_0139,YRB,139,T42,2021-10-28,Yakima,Naches River Craig Road 2,10,Fall,4,Fall,NA
RC2_0140,YRB,140,T03,2021-10-28,Yakima,Yakima at Union Gap,10,Fall,4,Fall,NA
RC2_0141,YRB,141,T02,2021-10-28,Yakima,Yakima at Mabton,10,Fall,4,Fall,NA
RC2_0142,YRB,142,T07,2021-10-28,Yakima,Yakima at Kiona,10,Fall,4,Fall,NA
RC2_0143,YRB,143,T06,2021-11-04,Yakima,American River,11,Fall,4,Fall,NA
RC2_0144,YRB,144,T05P,2021-11-04,Yakima,Little Naches at Nile,11,Fall,4,Fall,NA
RC2_0145,YRB,145,T42,2021-11-04,Yakima,Naches River Craig Road 2,11,Fall,4,Fall,NA
RC2_0146,YRB,146,T03,2021-11-04,Yakima,Yakima at Union Gap,11,Fall,4,Fall,NA
RC2_0147,YRB,147,T02,2021-11-04,Yakima,Yakima at Mabton,11,Fall,4,Fall,NA
RC2_0148,YRB,148,T07,2021-11-04,Yakima,Yakima at Kiona,11,Fall,4,Fall,NA
RC2_0149,YRB,149,T06,2021-11-18,Yakima,American River,11,Fall,4,Fall,NA
RC2_0150,YRB,150,T05P,2021-11-18,Yakima,Little Naches at Nile,11,Fall,4,Fall,NA
RC2_0151,YRB,151,T42,2021-11-18,Yakima,Naches River Craig Road 2,11,Fall,4,Fall,NA
RC2_0152,YRB,152,T03,2021-11-18,Yakima,Yakima at Union Gap,11,Fall,4,Fall,NA
RC2_0153,YRB,153,T02,2021-11-18,Yakima,Yakima at Mabton,11,Fall,4,Fall,NA
RC2_0154,YRB,154,T07,2021-11-18,Yakima,Yakima at Kiona,11,Fall,4,Fall,NA
RC2_0155,YRB,155,T06,2021-12-02,Yakima,American River,12,Winter,1,Fall,NA
RC2_0156,YRB,156,T05P,2021-12-02,Yakima,Little Naches at Nile,12,Winter,1,Fall,NA
RC2_0157,YRB,157,T42,2021-12-02,Yakima,Naches River Craig Road 2,12,Winter,1,Fall,NA
RC2_0158,YRB,158,T03,2021-12-02,Yakima,Yakima at Union Gap,12,Winter,1,Fall,NA
RC2_0159,YRB,159,T02,2021-12-02,Yakima,Yakima at Mabton,12,Winter,1,Fall,NA
RC2_0160,YRB,160,T07,2021-12-02,Yakima,Yakima at Kiona,12,Winter,1,Fall,NA
RC2_0163,YRB,163,T42,2021-12-13,Yakima,Naches River Craig Road 2,12,Winter,1,Fall,NA
RC2_0164,YRB,164,T03,2021-12-13,Yakima,Yakima at Union Gap,12,Winter,1,Fall,NA
RC2_0165,YRB,165,T02,2021-12-13,Yakima,Yakima at Mabton,12,Winter,1,Fall,NA
RC2_0166,YRB,166,T07,2021-12-13,Yakima,Yakima at Kiona,12,Winter,1,Fall,NA
RC2_0167,YRB,167,T07,2021-12-13,Yakima,Yakima at Kiona,12,Winter,1,Fall,NA
RC2_0177,YRB,177,T02,2022-01-13,Yakima,Yakima at Mabton,1,Winter,1,Winter,NA
RC2_0178,YRB,178,T07,2022-01-13,Yakima,Yakima at Kiona,1,Winter,1,Winter,NA
RC2_0179,YRB,179,T03,2022-01-27,Yakima,Yakima at Union Gap,1,Winter,1,Winter,NA
RC2_0183,YRB,183,T02,2022-01-27,Yakima,Yakima at Mabton,1,Winter,1,Winter,NA
RC2_0184,YRB,184,T07,2022-01-27,Yakima,Yakima at Kiona,1,Winter,1,Winter,NA
RC2_0187,YRB,187,T42,2022-02-10,Yakima,Naches River Craig Road 2,2,Winter,1,Winter,NA
RC2_0188,YRB,188,T03,2022-02-10,Yakima,Yakima at Union Gap,2,Winter,1,Winter,NA
RC2_0189,YRB,189,T02,2022-02-10,Yakima,Yakima at Mabton,2,Winter,1,Winter,NA
RC2_0190,YRB,190,T07,2022-02-10,Yakima,Yakima at Kiona,2,Winter,1,Winter,NA
RC2_0191,YRB,191,T07,2022-03-01,Yakima,Yakima at Kiona,3,Spring,2,Winter,NA
RC2_0192,YRB,192,T02,2022-03-01,Yakima,Yakima at Mabton,3,Spring,2,Winter,NA
RC2_0193,YRB,193,T42,2022-03-01,Yakima,Naches River Craig Road 2,3,Spring,2,Winter,NA
RC2_0194,YRB,194,T03,2022-03-01,Yakima,Yakima at Union Gap,3,Spring,2,Winter,NA
RC2_0195,YRB,195,T05P,2022-03-10,Yakima,Little Naches at Nile,3,Spring,2,Winter,NA
RC2_0196,YRB,196,T42,2022-03-10,Yakima,Naches River Craig Road 2,3,Spring,2,Winter,NA
RC2_0197,YRB,197,T03,2022-03-10,Yakima,Yakima at Union Gap,3,Spring,2,Winter,NA
RC2_0198,YRB,198,T02,2022-03-10,Yakima,Yakima at Mabton,3,Spring,2,Winter,NA
RC2_0199,YRB,199,T07,2022-03-10,Yakima,Yakima at Kiona,3,Spring,2,Winter,NA
RC2_0200,YRB,200,T06,2022-03-24,Yakima,American River,3,Spring,2,Winter,NA
RC2_0201,YRB,201,T05P,2022-03-24,Yakima,Little Naches at Nile,3,Spring,2,Winter,NA
RC2_0202,YRB,202,T42,2022-03-24,Yakima,Naches River Craig Road 2,3,Spring,2,Winter,NA
RC2_0203,YRB,203,T03,2022-03-24,Yakima,Yakima at Union Gap,3,Spring,2,Winter,NA
RC2_0204,YRB,204,T02,2022-03-24,Yakima,Yakima at Mabton,3,Spring,2,Winter,NA
RC2_0205,YRB,205,T07,2022-03-24,Yakima,Yakima at Kiona,3,Spring,2,Winter,NA
RC2_0206,YRB,206,T06,2022-04-07,Yakima,American River,4,Spring,2,Spring,NA
RC2_0207,YRB,207,T05P,2022-04-07,Yakima,Little Naches at Nile,4,Spring,2,Spring,NA
RC2_0208,YRB,208,T42,2022-04-07,Yakima,Naches River Craig Road 2,4,Spring,2,Spring,NA
RC2_0209,YRB,209,T03,2022-04-07,Yakima,Yakima at Union Gap,4,Spring,2,Spring,NA
RC2_0210,YRB,210,T02,2022-04-07,Yakima,Yakima at Mabton,4,Spring,2,Spring,NA
RC2_0211,YRB,211,T07,2022-04-07,Yakima,Yakima at Kiona,4,Spring,2,Spring,NA
