Watershed,dep_names,expl_names,nobs,p.value,r.squared,adj.r.squared,RMSE,statistic,df,r,p,r.sq.adj,r_labels,r2_labels
Gunnison,DOC_mgL,WsAreaSqKm,11,0.005047647937740468,0.6012140672180752,0.5569045191311948,0.735105702120522,13.568499187561944,1,0.7753799502296119,< 0.1,0.56,r~'= '*0.78,r^2~'= '*0.56
Gunnison,DOC_mgL,tt_hr,11,0.006345304270606826,0.5815775115528973,0.5350861239476636,0.7529868389361782,12.509360152705524,1,0.7626122943887655,< 0.1,0.54,r~'= '*0.76,r^2~'= '*0.54
Gunnison,DOC_mgL,Da,11,0.006214321730151428,0.5834036334910885,0.5371151483234315,0.7513419113986031,12.603644975159614,1,0.7638086366957946,< 0.1,0.54,r~'= '*0.76,r^2~'= '*0.54
Gunnison,DOC_mgL,lulc_evenness,11,0.1528169748336364,0.21318967563295993,0.12576630625884422,1.0325590594987852,2.4385890999081243,1,0.46172467513980664,n.s.,NA,NA,NA
Gunnison,DOC_mgL,PctDecid2019Ws,11,0.1900248011335185,0.1825017382536536,0.09166859805961503,1.0525028861255405,2.009197720829555,1,0.42720222173304945,n.s.,NA,NA,NA
Gunnison,DOC_mgL,PctConif2019Ws,11,0.44420939205500554,0.06641921161595221,-0.037311987093386456,1.1247495536362362,0.6403012058316517,1,0.25771924960303644,n.s.,NA,NA,NA
Gunnison,peaks.with.formula,WsAreaSqKm,11,0.2743805744197397,0.13083145852699776,0.03425717614110857,697.9837827121385,1.3547235899121117,1,0.36170631529874875,n.s.,NA,NA,NA
Gunnison,peaks.with.formula,tt_hr,11,0.09009174336475699,0.28597628237922557,0.20664031375469505,632.6298087801385,3.6046233169806206,1,0.5347675031069348,< 0.1,0.21,r~'= '*0.53,r^2~'= '*0.21
Gunnison,peaks.with.formula,Da,11,0.08250790142388613,0.29775154253919156,0.21972393615465724,627.391643022642,3.8159768873572477,1,0.5456661456780981,< 0.1,0.22,r~'= '*0.55,r^2~'= '*0.22
Gunnison,peaks.with.formula,lulc_evenness,11,0.5963734895377129,0.032401639182557326,-0.07510928979715858,736.4459777729043,0.30137995727551153,1,-0.1800045532272931,n.s.,NA,NA,NA
Gunnison,peaks.with.formula,PctDecid2019Ws,11,0.6550245245075638,0.023169611850058457,-0.08536709794437947,739.9509180592994,0.21347258355205645,1,-0.152215675441324,n.s.,NA,NA,NA
Gunnison,peaks.with.formula,PctConif2019Ws,11,0.002729082544296196,0.6498589270936325,0.6109543634373693,443.0113587812167,16.703925350130863,1,0.8061382803797573,< 0.1,0.61,r~'= '*0.81,r^2~'= '*0.61
Gunnison,AI_Mod.mean,WsAreaSqKm,11,0.269659853768373,0.13325033699595928,0.036944818884399155,0.018991027570156704,1.383620997102185,1,0.36503470656358045,n.s.,NA,NA,NA
